ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Козлов Дмитрий,100,3,Владивосток
Кузнецова Сергей,100,3,Владивосток
Новикова Анна,100,Люкс,Владивосток
Новикова Ольга,100,2,Владивосток
Попова Екатерина,100,2,Владивосток
Иванов Мария,100,Люкс,Калининград
Лебедева Иван,100,1,Калининград
Петрова Анна,100,1,Калининград
Сидоров Дмитрий,100,1,Калининград
Сидоров Иван,100,3,Калининград
Лебедева Иван,100,1,Мурманск
Лебедева Пётр,100,Люкс,Мурманск
Новикова Дмитрий,100,3,Мурманск
Петрова Алексей,100,1,Мурманск
Петрова Анна,100,1,Мурманск
Петрова Наталья,100,1,Мурманск
Соколов Наталья,100,3,Мурманск
Козлов Мария,100,1,Одесса
Лебедева Анна,100,1,Одесса
Петрова Дмитрий,100,1,Одесса
Смирнов Сергей,100,2,Одесса
Иванов Дмитрий,100,2,Санкт-Петербург
Иванов Сергей,100,1,Санкт-Петербург
Сидоров Ольга,100,2,Санкт-Петербург
Иванов Дмитрий,100,Люкс,Севастополь
Петрова Алексей,100,2,Севастополь
Смирнов Пётр,100,3,Севастополь
Козлов Екатерина,101,3,Владивосток
Петрова Пётр,101,1,Владивосток
Сидоров Екатерина,101,Люкс,Владивосток
Соколов Мария,101,2,Владивосток
Кузнецова Иван,101,Люкс,Калининград
Новикова Иван,101,Люкс,Калининград
Попова Пётр,101,Люкс,Калининград
Кузнецова Алексей,101,1,Мурманск
Кузнецова Екатерина,101,3,Мурманск
Кузнецова Пётр,101,2,Мурманск
Лебедева Дмитрий,101,1,Мурманск
Новикова Иван,101,3,Мурманск
Попова Ольга,101,3,Мурманск
Смирнов Дмитрий,101,1,Мурманск
Новикова Мария,101,Люкс,Одесса
Попова Сергей,101,3,Одесса
Иванов Алексей,101,3,Санкт-Петербург
Новикова Пётр,101,3,Санкт-Петербург
Петрова Анна,101,Люкс,Санкт-Петербург
Петрова Мария,101,2,Санкт-Петербург
Смирнов Мария,101,3,Санкт-Петербург
Кузнецова Алексей,101,3,Севастополь
Новикова Ольга,101,Люкс,Севастополь
Сидоров Дмитрий,101,1,Севастополь
Иванов Ольга,102,3,Владивосток
Новикова Анна,102,3,Владивосток
Петрова Пётр,102,3,Владивосток
Иванов Мария,102,2,Калининград
Новикова Екатерина,102,2,Мурманск
Сидоров Сергей,102,2,Мурманск
Смирнов Ольга,102,3,Мурманск
Лебедева Иван,102,2,Одесса
Новикова Екатерина,102,3,Одесса
Новикова Наталья,102,Люкс,Одесса
Попова Анна,102,2,Одесса
Кузнецова Иван,102,2,Санкт-Петербург
Лебедева Дмитрий,102,2,Санкт-Петербург
Лебедева Сергей,102,Люкс,Санкт-Петербург
Петрова Иван,102,3,Санкт-Петербург
Попова Анна,102,3,Санкт-Петербург
Сидоров Анна,102,2,Санкт-Петербург
Лебедева Дмитрий,102,Люкс,Севастополь
Попова Наталья,102,3,Севастополь
Сидоров Ольга,102,2,Севастополь
Иванов Сергей,103,3,Владивосток
Попова Алексей,103,1,Владивосток
Иванов Мария,103,Люкс,Калининград
Кузнецова Дмитрий,103,1,Калининград
Попова Мария,103,Люкс,Калининград
Смирнов Иван,103,1,Калининград
Соколов Иван,103,Люкс,Калининград
Кузнецова Дмитрий,103,2,Мурманск
Новикова Екатерина,103,3,Мурманск
Новикова Сергей,103,Люкс,Мурманск
Сидоров Екатерина,103,2,Мурманск
Смирнов Иван,103,2,Мурманск
Лебедева Иван,103,Люкс,Одесса
Попова Дмитрий,103,2,Одесса
Козлов Сергей,103,Люкс,Санкт-Петербург
Петрова Ольга,103,Люкс,Санкт-Петербург
Иванов Иван,103,2,Севастополь
Новикова Сергей,103,1,Севастополь
Петрова Ольга,103,1,Севастополь
Сидоров Анна,103,3,Севастополь
Сидоров Дмитрий,103,Люкс,Севастополь
Смирнов Пётр,103,3,Севастополь
Лебедева Иван,104,Люкс,Владивосток
Попова Сергей,104,3,Владивосток
Сидоров Дмитрий,104,2,Владивосток
Иванов Дмитрий,104,1,Калининград
Иванов Ольга,104,2,Калининград
Новикова Пётр,104,1,Калининград
Новикова Пётр,104,1,Мурманск
Сидоров Анна,104,3,Мурманск
Сидоров Мария,104,Люкс,Мурманск
Иванов Иван,104,Люкс,Одесса
Козлов Дмитрий,104,Люкс,Одесса
Козлов Мария,104,2,Одесса
Новикова Анна,104,2,Одесса
Сидоров Пётр,104,Люкс,Одесса
Смирнов Екатерина,104,Люкс,Одесса
Иванов Мария,104,2,Санкт-Петербург
Соколов Екатерина,104,3,Санкт-Петербург
Козлов Сергей,104,2,Севастополь
Петрова Мария,104,2,Севастополь
Сидоров Иван,104,2,Севастополь
Иванов Анна,105,Люкс,Владивосток
Лебедева Мария,105,2,Владивосток
Петрова Мария,105,2,Владивосток
Попова Екатерина,105,2,Владивосток
Попова Ольга,105,1,Владивосток
Смирнов Наталья,105,1,Владивосток
Иванов Дмитрий,105,2,Калининград
Козлов Екатерина,105,2,Калининград
Лебедева Сергей,105,2,Калининград
Попова Мария,105,2,Калининград
Смирнов Иван,105,Люкс,Калининград
Соколов Анна,105,Люкс,Калининград
Иванов Пётр,105,1,Мурманск
Соколов Сергей,105,Люкс,Мурманск
Кузнецова Екатерина,105,1,Одесса
Кузнецова Сергей,105,Люкс,Одесса
Иванов Пётр,105,1,Санкт-Петербург
Козлов Сергей,105,2,Санкт-Петербург
Кузнецова Алексей,105,2,Санкт-Петербург
Кузнецова Екатерина,105,3,Санкт-Петербург
Петрова Сергей,105,2,Санкт-Петербург
Смирнов Сергей,105,3,Санкт-Петербург
Кузнецова Мария,105,2,Севастополь
Кузнецова Пётр,105,3,Севастополь
Петрова Иван,105,1,Севастополь
Попова Алексей,105,2,Севастополь
Смирнов Ольга,105,Люкс,Севастополь
Смирнов Сергей,105,Люкс,Севастополь
Иванов Пётр,106,1,Владивосток
Лебедева Пётр,106,1,Владивосток
Соколов Мария,106,2,Владивосток
Иванов Екатерина,106,1,Калининград
Иванов Ольга,106,Люкс,Калининград
Соколов Екатерина,106,2,Калининград
Козлов Ольга,106,3,Мурманск
Соколов Екатерина,106,3,Мурманск
Соколов Ольга,106,Люкс,Мурманск
Кузнецова Алексей,106,3,Одесса
Кузнецова Мария,106,3,Одесса
Смирнов Екатерина,106,1,Одесса
Сидоров Дмитрий,106,1,Санкт-Петербург
Сидоров Пётр,106,Люкс,Санкт-Петербург
Сидоров Сергей,106,2,Санкт-Петербург
Козлов Екатерина,106,1,Севастополь
Смирнов Ольга,106,2,Севастополь
Соколов Пётр,106,Люкс,Севастополь
Козлов Ольга,107,Люкс,Владивосток
Кузнецова Наталья,107,Люкс,Владивосток
Кузнецова Пётр,107,Люкс,Владивосток
Петрова Дмитрий,107,1,Владивосток
Попова Анна,107,Люкс,Владивосток
Попова Мария,107,Люкс,Владивосток
Козлов Ольга,107,Люкс,Калининград
Попова Дмитрий,107,1,Калининград
Сидоров Иван,107,1,Калининград
Попова Иван,107,2,Мурманск
Сидоров Ольга,107,2,Мурманск
Смирнов Мария,107,3,Мурманск
Смирнов Пётр,107,Люкс,Мурманск
Петрова Анна,107,3,Одесса
Иванов Пётр,107,2,Санкт-Петербург
Козлов Сергей,107,Люкс,Санкт-Петербург
Кузнецова Анна,107,Люкс,Санкт-Петербург
Кузнецова Наталья,107,1,Санкт-Петербург
Новикова Пётр,107,Люкс,Санкт-Петербург
Сидоров Наталья,107,1,Санкт-Петербург
Смирнов Наталья,107,Люкс,Санкт-Петербург
Кузнецова Мария,107,3,Севастополь
Петрова Ольга,107,2,Севастополь
Смирнов Пётр,107,1,Севастополь
Козлов Сергей,108,1,Владивосток
Попова Алексей,108,3,Владивосток
Попова Мария,108,3,Владивосток
Сидоров Пётр,108,1,Владивосток
Смирнов Алексей,108,Люкс,Владивосток
Соколов Анна,108,1,Владивосток
Козлов Сергей,108,1,Калининград
Смирнов Сергей,108,3,Калининград
Сидоров Сергей,108,3,Мурманск
Лебедева Сергей,108,1,Одесса
Смирнов Пётр,108,3,Одесса
Кузнецова Анна,108,Люкс,Санкт-Петербург
Лебедева Дмитрий,108,2,Санкт-Петербург
Лебедева Наталья,108,1,Санкт-Петербург
Смирнов Анна,108,Люкс,Санкт-Петербург
Петрова Наталья,108,Люкс,Севастополь
Попова Анна,108,3,Севастополь
Иванов Алексей,109,3,Мурманск
Попова Дмитрий,109,Люкс,Мурманск
Сидоров Анна,109,3,Мурманск
Смирнов Дмитрий,109,Люкс,Мурманск
Лебедева Екатерина,109,3,Одесса
Лебедева Наталья,109,1,Одесса
Лебедева Ольга,109,2,Одесса
Новикова Сергей,109,Люкс,Одесса
Петрова Екатерина,109,2,Одесса
Петрова Ольга,109,2,Одесса
Соколов Екатерина,109,3,Одесса
Кузнецова Иван,109,1,Санкт-Петербург
Иванов Сергей,109,1,Севастополь
Кузнецова Екатерина,109,2,Севастополь
Лебедева Мария,109,3,Севастополь
Петрова Пётр,109,3,Севастополь
Смирнов Анна,109,1,Севастополь
Лебедева Пётр,110,2,Владивосток
Иванов Наталья,110,1,Калининград
Лебедева Пётр,110,Люкс,Калининград
Новикова Алексей,110,3,Калининград
Сидоров Сергей,110,3,Калининград
Иванов Дмитрий,110,1,Мурманск
Козлов Пётр,110,Люкс,Мурманск
Козлов Сергей,110,1,Мурманск
Кузнецова Дмитрий,110,2,Мурманск
Соколов Иван,110,1,Мурманск
Кузнецова Мария,110,3,Одесса
Кузнецова Сергей,110,1,Одесса
