ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Иванов Анна,100,3,Владивосток
Иванов Екатерина,100,3,Владивосток
Иванов Мария,100,1,Владивосток
Козлов Дмитрий,100,3,Владивосток
Кузнецова Сергей,100,3,Владивосток
Лебедева Дмитрий,100,3,Владивосток
Новикова Анна,100,Люкс,Владивосток
Новикова Ольга,100,2,Владивосток
Петрова Мария,100,1,Владивосток
Попова Дмитрий,100,3,Владивосток
Попова Екатерина,100,2,Владивосток
Попова Иван,100,2,Владивосток
Смирнов Анна,100,1,Владивосток
Соколов Екатерина,100,Люкс,Владивосток
Иванов Мария,100,Люкс,Калининград
Лебедева Иван,100,1,Калининград
Новикова Ольга,100,1,Калининград
Петрова Анна,100,1,Калининград
Петрова Мария,100,3,Калининград
Попова Алексей,100,2,Калининград
Сидоров Дмитрий,100,1,Калининград
Сидоров Иван,100,3,Калининград
Смирнов Пётр,100,1,Калининград
Иванов Иван,100,2,Мурманск
Лебедева Иван,100,1,Мурманск
Лебедева Пётр,100,Люкс,Мурманск
Лебедева Сергей,100,1,Мурманск
Новикова Дмитрий,100,3,Мурманск
Петрова Алексей,100,1,Мурманск
Петрова Анна,100,1,Мурманск
Петрова Наталья,100,1,Мурманск
Сидоров Екатерина,100,3,Мурманск
Смирнов Анна,100,2,Мурманск
Смирнов Ольга,100,2,Мурманск
Смирнов Пётр,100,2,Мурманск
Соколов Наталья,100,3,Мурманск
Козлов Мария,100,1,Одесса
Кузнецова Иван,100,Люкс,Одесса
Лебедева Анна,100,1,Одесса
Новикова Алексей,100,Люкс,Одесса
Петрова Дмитрий,100,1,Одесса
Сидоров Ольга,100,Люкс,Одесса
Смирнов Пётр,100,Люкс,Одесса
Смирнов Сергей,100,2,Одесса
Иванов Дмитрий,100,2,Санкт-Петербург
Иванов Сергей,100,1,Санкт-Петербург
Козлов Наталья,100,1,Санкт-Петербург
Козлов Пётр,100,3,Санкт-Петербург
Кузнецова Алексей,100,1,Санкт-Петербург
Кузнецова Ольга,100,3,Санкт-Петербург
Лебедева Алексей,100,3,Санкт-Петербург
Лебедева Анна,100,Люкс,Санкт-Петербург
Новикова Мария,100,2,Санкт-Петербург
Новикова Ольга,100,3,Санкт-Петербург
Петрова Мария,100,Люкс,Санкт-Петербург
Сидоров Екатерина,100,Люкс,Санкт-Петербург
Сидоров Ольга,100,2,Санкт-Петербург
Смирнов Сергей,100,2,Санкт-Петербург
Иванов Дмитрий,100,Люкс,Севастополь
Иванов Ольга,100,3,Севастополь
Кузнецова Екатерина,100,2,Севастополь
Лебедева Анна,100,3,Севастополь
Петрова Алексей,100,2,Севастополь
Попова Екатерина,100,Люкс,Севастополь
Попова Иван,100,2,Севастополь
Сидоров Екатерина,100,2,Севастополь
Смирнов Алексей,100,2,Севастополь
Смирнов Пётр,100,3,Севастополь
Соколов Иван,100,3,Севастополь
Козлов Анна,101,1,Владивосток
Козлов Екатерина,101,3,Владивосток
Лебедева Наталья,101,3,Владивосток
Лебедева Сергей,101,Люкс,Владивосток
Петрова Пётр,101,1,Владивосток
Сидоров Екатерина,101,Люкс,Владивосток
Сидоров Пётр,101,Люкс,Владивосток
Соколов Мария,101,2,Владивосток
Соколов Ольга,101,3,Владивосток
Соколов Пётр,101,3,Владивосток
Иванов Ольга,101,2,Калининград
Кузнецова Иван,101,Люкс,Калининград
Лебедева Сергей,101,3,Калининград
Новикова Иван,101,Люкс,Калининград
Петрова Алексей,101,1,Калининград
Петрова Ольга,101,2,Калининград
Попова Екатерина,101,1,Калининград
Попова Пётр,101,Люкс,Калининград
Сидоров Наталья,101,2,Калининград
Сидоров Пётр,101,1,Калининград
Иванов Дмитрий,101,2,Мурманск
Козлов Екатерина,101,3,Мурманск
Кузнецова Алексей,101,1,Мурманск
Кузнецова Екатерина,101,3,Мурманск
Кузнецова Пётр,101,2,Мурманск
Лебедева Дмитрий,101,1,Мурманск
Новикова Екатерина,101,1,Мурманск
Новикова Иван,101,3,Мурманск
Петрова Дмитрий,101,1,Мурманск
Попова Ольга,101,3,Мурманск
Смирнов Дмитрий,101,1,Мурманск
Смирнов Мария,101,Люкс,Мурманск
Лебедева Алексей,101,2,Одесса
Лебедева Екатерина,101,Люкс,Одесса
Лебедева Иван,101,1,Одесса
Лебедева Наталья,101,Люкс,Одесса
Новикова Мария,101,Люкс,Одесса
Попова Наталья,101,2,Одесса
Попова Сергей,101,3,Одесса
Сидоров Мария,101,2,Одесса
Иванов Алексей,101,3,Санкт-Петербург
Новикова Пётр,101,3,Санкт-Петербург
Петрова Анна,101,Люкс,Санкт-Петербург
Петрова Мария,101,2,Санкт-Петербург
Смирнов Дмитрий,101,1,Санкт-Петербург
Смирнов Мария,101,3,Санкт-Петербург
Кузнецова Алексей,101,3,Севастополь
Кузнецова Ольга,101,1,Севастополь
Новикова Ольга,101,Люкс,Севастополь
Петрова Алексей,101,3,Севастополь
Сидоров Дмитрий,101,1,Севастополь
Смирнов Дмитрий,101,2,Севастополь
Иванов Ольга,102,3,Владивосток
